,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
281,201988,2013-14,0.436,0.462,0.116,0.532,0.102,0.426,0.179,0.454
282,200794,2013-14,0.552,0.483,0.193,0.455,0.134,0.471,0.112,0.374
283,1737,2013-14,0.744,0.398,0.2,0.56,0.032,0.0,0.024,0.667
284,202328,2013-14,0.513,0.53,0.281,0.484,0.122,0.46,0.079,0.388
285,202734,2013-14,0.435,0.406,0.128,0.552,0.168,0.408,0.192,0.483
286,202721,2013-14,0.344,0.394,0.125,0.25,0.073,0.429,0.281,0.519
287,202694,2013-14,0.598,0.49,0.148,0.375,0.092,0.333,0.136,0.398
288,202693,2013-14,0.562,0.493,0.217,0.481,0.14,0.475,0.078,0.455
289,201627,2013-14,0.556,0.46,0.138,0.528,0.154,0.425,0.137,0.423
290,202700,2013-14,0.729,0.451,0.142,0.381,0.098,0.448,0.031,0.556
291,202389,2013-14,0.811,0.54,0.125,0.471,0.05,0.444,0.015,0.375
292,203498,2013-14,0.371,0.457,0.282,0.486,0.153,0.368,0.185,0.522
293,201957,2013-14,0.806,0.451,0.145,0.5,0.03,0.0,0.018,0.333
294,203315,2013-14,0.209,0.481,0.171,0.5,0.163,0.429,0.225,0.379
295,203488,2013-14,0.836,0.459,0.055,0.25,0.096,0.286,0.014,0.0
296,959,2013-14,0.191,0.5,0.074,0.143,0.106,0.2,0.213,0.3
297,202390,2013-14,0.358,0.406,0.265,0.426,0.171,0.43,0.171,0.38
298,2749,2013-14,0.327,0.383,0.12,0.404,0.085,0.444,0.194,0.403
299,203094,2013-14,0.706,0.414,0.127,0.472,0.084,0.429,0.084,0.457
300,201149,2013-14,0.653,0.518,0.187,0.459,0.085,0.343,0.071,0.304
301,200779,2013-14,0.759,0.473,0.179,0.192,0.034,0.4,0.028,0.25
302,1717,2013-14,0.619,0.494,0.179,0.474,0.116,0.51,0.083,0.566
303,203263,2013-14,0.535,0.391,0.209,0.111,0.116,0.2,0.14,0.333
304,979,2013-14,0.533,0.615,0.193,0.34,0.098,0.25,0.172,0.476
305,203124,2013-14,0.803,0.493,0.135,0.52,0.038,0.571,0.024,0.556
306,203506,2013-14,0.269,0.424,0.082,0.526,0.096,0.371,0.212,0.376
307,203482,2013-14,0.73,0.499,0.132,0.379,0.084,0.405,0.052,0.385
308,202350,2013-14,0.745,0.457,0.106,0.8,0.128,0.167,0.021,0.0
309,2566,2013-14,0.579,0.422,0.158,0.275,0.146,0.426,0.093,0.467
310,2585,2013-14,0.663,0.469,0.201,0.377,0.093,0.25,0.044,0.333
311,2457,2013-14,0.339,0.475,0.153,0.556,0.076,0.667,0.246,0.241
312,2225,2013-14,0.193,0.528,0.084,0.558,0.109,0.404,0.246,0.491
313,202718,2013-14,0.523,0.481,0.188,0.476,0.119,0.487,0.14,0.449
